cond,subj,blk,trial,triad,resp,rt,left1,mid2,right3
1,18,1,1,9,2,3030,5,1,7
1,18,1,2,36,1,2843,4,2,1
1,18,1,3,19,2,1381,2,6,8
1,18,1,4,40,2,1187,7,8,5
1,18,1,5,25,2,1393,1,2,3
1,18,1,6,13,3,1024,2,4,8
1,18,1,7,47,1,1415,8,6,7
1,18,1,8,2,2,1053,1,7,3
1,18,2,1,30,1,1747,3,2,1
1,18,2,2,37,2,1028,5,7,8
1,18,2,3,20,2,966,2,8,6
1,18,2,4,35,2,743,4,1,2
1,18,2,5,15,3,1477,4,2,8
1,18,2,6,45,1,1539,7,6,8
1,18,2,7,11,1,2520,7,1,5
1,18,2,8,5,1,1224,7,1,3
1,18,3,1,44,2,861,6,8,7
1,18,3,2,42,2,1135,8,7,5
1,18,3,3,22,1,750,6,8,2
1,18,3,4,6,1,715,7,3,1
1,18,3,5,12,1,612,7,5,1
1,18,3,6,28,2,957,2,3,1
1,18,3,7,34,3,903,2,4,1
1,18,3,8,18,1,618,8,4,2
1,18,4,1,4,2,619,3,7,1
1,18,4,2,32,1,604,1,4,2
1,18,4,3,24,3,813,8,6,2
1,18,4,4,10,3,969,5,7,1
1,18,4,5,46,2,707,7,8,6
1,18,4,6,38,2,1039,5,8,7
1,18,4,7,14,2,700,2,8,4
1,18,4,8,26,3,655,1,3,2
1,18,5,1,43,2,557,6,7,8
1,18,5,2,17,1,1323,8,2,4
1,18,5,3,29,3,780,3,1,2
1,18,5,4,31,1,1244,1,2,4
1,18,5,5,39,3,706,7,5,8
1,18,5,6,21,2,684,6,2,8
1,18,5,7,3,3,517,3,1,7
1,18,5,8,7,1,759,1,5,7
1,18,6,1,27,1,1371,2,1,3
1,18,6,2,16,2,715,4,8,2
1,18,6,3,48,2,1103,8,7,6
1,18,6,4,8,2,840,1,7,5
1,18,6,5,41,2,672,8,5,7
1,18,6,6,1,3,535,1,3,7
1,18,6,7,33,2,568,2,1,4
1,18,6,8,23,2,729,8,2,6
1,18,7,1,28,1,826,2,3,1
1,18,7,2,3,3,620,3,1,7
1,18,7,3,14,2,478,2,8,4
1,18,7,4,22,3,470,6,8,2
1,18,7,5,12,3,524,7,5,1
1,18,7,6,37,3,655,5,7,8
1,18,7,7,44,3,760,6,8,7
1,18,7,8,36,3,619,4,2,1
1,18,8,1,19,3,635,2,6,8
1,18,8,2,47,3,486,8,6,7
1,18,8,3,9,2,640,5,1,7
1,18,8,4,29,3,510,3,1,2
1,18,8,5,34,3,559,2,4,1
1,18,8,6,16,2,701,4,8,2
1,18,8,7,40,2,1185,7,8,5
1,18,8,8,5,1,1045,7,1,3
