ppt,block,trial,lcol,rcol,sim,rt
1,1,1,4,7,4,8.587
1,1,2,4,6,6,0.896
1,1,3,1,3,8,1.66
1,1,4,1,7,3,1.055
1,1,5,3,7,8,1.807
1,1,6,3,1,8,1.818
1,1,7,2,5,2,1.119
1,1,8,5,8,2,0.774
1,1,9,3,5,8,1.384
1,1,10,5,7,9,1.199
1,1,11,3,8,2,1.418
1,1,12,5,6,9,0.978
1,1,13,2,3,8,1.758
1,1,14,5,2,2,1.465
1,1,15,7,5,9,0.903
1,1,16,6,3,7,7.045
1,1,17,6,2,2,0.748
1,1,18,4,8,2,2.303
1,1,19,7,3,2,0.899
1,1,20,6,5,9,1.106
1,1,21,5,3,7,1.528
1,1,22,4,2,9,1.337
1,1,23,2,1,1,1.915
1,1,24,7,1,1,1.135
1,1,25,2,7,1,1.182
1,1,26,3,4,9,1.292
1,1,27,7,2,1,0.868
1,1,28,4,3,9,1.039
1,1,29,6,1,6,2.223
1,1,30,2,8,1,1.429
1,1,31,8,5,6,1.323
1,1,32,2,4,9,1.475
1,1,33,6,4,7,0.981
1,1,34,5,4,2,2.726
1,1,35,8,2,1,0.916
1,1,36,1,6,5,3.708
1,1,37,5,1,2,4.366
1,1,38,7,8,9,1.87
1,1,39,4,1,9,1.476
1,1,40,3,6,7,0.747
1,1,41,8,3,1,0.946
1,1,42,8,4,2,1.148
1,1,43,7,4,2,1.321
1,1,44,3,2,3,1.241
1,1,45,1,4,6,2.614
1,1,46,6,7,8,5.796
1,1,47,2,6,2,1.288
1,1,48,8,7,9,2.239
1,1,49,4,5,1,1.371
1,1,50,7,6,7,2.753
1,1,51,8,1,4,2.862
1,1,52,1,2,4,2.412
1,1,53,8,6,9,1.323
1,1,54,6,8,8,2.176
1,1,55,1,8,1,1.412
1,1,56,1,5,5,0.913
1,2,1,2,4,1,2.108
1,2,2,6,3,2,1.662
1,2,3,2,5,1,2.463
1,2,4,8,2,1,1.303
1,2,5,4,2,9,2.004
1,2,6,1,7,7,1.837
1,2,7,1,6,6,4.491
1,2,8,1,3,9,0.903
1,2,9,8,7,6,0.979
1,2,10,5,1,2,1.683
1,2,11,8,4,3,2.878
1,2,12,7,6,6,2.163
1,2,13,7,5,8,0.982
1,2,14,6,7,8,1.586
1,2,15,2,1,4,2.524
1,2,16,8,3,5,1.808
1,2,17,2,7,1,1.854
1,2,18,6,2,1,2.134
1,2,19,6,4,1,0.851
1,2,20,3,5,5,1.446
1,2,21,1,4,4,1.741
1,2,22,3,8,3,4.657
